date,character_name,world_name,character_class,character_level,character_exp,character_exp_rate,character_date_create,past_level,growth,create_year,create_year_month
2025-04-27 00:00:00+09:00,vV수누보마Vv,챌린저스2,보우마스터,280.0,217053875270.0,0.645,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,챌섭할각임,챌린저스,보우마스터,280.0,432689508921.0,1.286,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,뺀구리,챌린저스,보우마스터,280.0,430345184439.0,1.279,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,화살들고와라,크로아,보우마스터,280.0,195237607090.0,0.580,2025-01-06 00:00:00+09:00,278.0,2.0,2025.0,2025-01
2025-04-27 00:00:00+09:00,밥먹는돛새치,챌린저스2,보우마스터,280.0,324815669614.0,0.965,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,위플래싱,루나,보우마스터,280.0,187491020932.0,0.557,2024-12-19 00:00:00+09:00,277.0,3.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,시퀀스꾹,챌린저스,보우마스터,280.0,450063092575.0,1.338,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,양각궁,챌린저스,보우마스터,280.0,193431748092.0,0.575,2024-12-24 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,매꺼핀,루나,보우마스터,280.0,226382038389.0,0.673,2020-09-28 00:00:00+09:00,278.0,2.0,2020.0,2020-09
2025-04-27 00:00:00+09:00,술버릇,엘리시움,보우마스터,280.0,209389368359.0,0.622,2020-12-17 00:00:00+09:00,277.0,3.0,2020.0,2020-12
2025-04-27 00:00:00+09:00,신창섭보마,루나,보우마스터,280.0,170293315773.0,0.506,2024-06-20 00:00:00+09:00,280.0,0.0,2024.0,2024-06
2025-04-27 00:00:00+09:00,보우굵직,크로아,보우마스터,280.0,821602045212.0,2.442,2024-02-17 00:00:00+09:00,279.0,1.0,2024.0,2024-02
2025-04-27 00:00:00+09:00,라떼미라주,엘리시움,보우마스터,280.0,331747440909.0,0.986,2024-12-23 00:00:00+09:00,276.0,4.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,tmddbswjd,스카니아,보우마스터,280.0,240894646311.0,0.716,2024-12-19 00:00:00+09:00,279.0,1.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,땅모,챌린저스,보우마스터,280.0,150752677341.0,0.448,2024-12-19 00:00:00+09:00,278.0,2.0,2024.0,2024-12
2025-04-27 00:00:00+09:00,올해보여주나,스카니아,보우마스터,280.0,149151451207.0,0.443,2025-01-09 00:00:00+09:00,279.0,1.0,2025.0,2025-01
2025-04-27 00:00:00+09:00,또켜,엘리시움,보우마스터,280.0,148570074134.0,0.442,2022-12-22 00:00:00+09:00,279.0,1.0,2022.0,2022-12
